,employee_residence,x
1,AE,100000.00
2,AR,60000.00
3,AT,76738.67
4,AU,108042.67
5,BE,85699.00
6,BG,80000.00
7,BO,75000.00
8,BR,54634.67
9,CA,97085.31
10,CH,122346.00
11,CL,40038.00
12,CN,43331.00
13,CO,21844.00
14,CZ,69999.00
15,DE,85552.56
16,DK,37252.50
17,DZ,100000.00
18,EE,32974.00
19,ES,57593.40
20,FR,59886.61
21,GB,81403.16
22,GR,56331.23
23,HK,66022.00
24,HN,20000.00
25,HR,45618.00
26,HU,35997.00
27,IE,71444.00
28,IN,37322.33
29,IQ,100000.00
30,IR,4000.00
31,IT,61600.00
32,JE,100000.00
33,JP,103537.71
34,KE,9272.00
35,LU,59102.00
36,MD,18000.00
37,MT,28369.00
38,MX,18185.00
39,MY,200000.00
40,NG,30000.00
41,NL,60956.60
42,NZ,125000.00
43,PH,45760.00
44,PK,27462.83
45,PL,56177.50
46,PR,160000.00
47,PT,42862.50
48,RO,51419.00
49,RS,25532.00
50,RU,105750.00
51,SG,104176.50
52,SI,63831.00
53,TN,31875.00
54,TR,20096.67
55,UA,13400.00
56,US,149194.12
57,VN,30800.00
